主題/情境,情緒/態度,事件,關鍵字1,關鍵字2,權重
Time & Efficiency,"Habitual, Desire, Achievement",旅遊偏好自由行，所有行程都透過 Excel 表格或 Notion 規劃。,高效規劃,自由掌控,3.31%
Work & Career,"Achievement, Joy, Satisfaction",對於自己能寫出高效能的 Python 腳本感到自豪。,程式設計成就,技術自豪,3.19%
Family & Intimacy,"Habitual, Tension/Stress, Empathy",常常因為太專注於解決工作問題，而忽略了伴侶的情緒。,工作影響親密關係,情感忽視,3.15%
Time & Efficiency,"Habitual,Satisfaction,Neutral",紀念日和節日都設定在行事曆中，並提早一週提醒自己準備。,提前準備,習慣規劃,3.14%
Work & Career,"Habitual, Tension/Stress",遇到 Bug 或產線停機，第一個反應是看 Log 和 Dashboard。,故障排除,危機處理,3.07%
Health & Management,"Desire, Habitual, Satisfaction",認為充足的睡眠是保持工作效率的關鍵，晚上 12 點前一定就寢。,睡眠優先,效率管理,2.83%
Health & Management,"Habitual, Satisfaction, Desire",下班後每週固定去健身房 2 次，會戴 Apple Watch 記錄所有數據。,健康管理,運動習慣,2.83%
Family & Intimacy,"Empathy, Satisfaction, Achievement",偏好以實際行動（如：買家電、解決問題）表達對家人的愛。,實際關懷,問題解決,2.81%
Consumption & Habits,"Neutral, Empathy",對環保議題有理性認知，會根據數據結果選擇對環境影響最小的產品。,理性消費,數據決策,2.76%
Time & Efficiency,"Desire, Neutral",閱讀技術文件時，會使用瀏覽器外掛進行自動摘要 (Summarization)。,效率提升,資訊速讀,2.76%
Time & Efficiency,"Desire, Tension/Stress",任何需要排隊或填寫紙本表格的事情都會放棄。,排隊恐懼,效率渴望,2.52%
Time & Efficiency,"Tension/Stress, Desire",最大的焦慮是當下在做的事情不是「最有價值」的事情。,價值焦慮,高效渴望,2.52%
Technology & Gadgets,"Desire, Satisfaction",對於功能強大、能提升效率的軟體，價格敏感度低。,效率優先,價值導向,2.48%
Technology & Gadgets,"Satisfaction, Desire",已經將手機上大部分不必要的通知關閉，只留下重要的。,數位減法,專注力提升,2.48%
Technology & Gadgets,"Disappointment, Tension/Stress, Desire",網路服務遇到問題時，不喜歡看到「請稍後再試」這種模糊的錯誤訊息。,服務不可靠,錯誤處理不佳,2.30%
Learning & Knowledge,Habitual,每天早上會固定花 10 分鐘閱讀《電子時報》或科技網誌。,晨間習慣,科技趨勢,2.29%
Finance & Investment,"Empathy,Tension/Stress",重要的家庭決策（如換工作、換房）會反覆計算模型。,家庭決策壓力,反覆計算,2.28%
Finance & Investment,Satisfaction,由於收入穩定，對科技成長股有較高的風險承受度。,財務信心,投資偏好,2.21%
Family & Intimacy,"Habitual, Empathy",週末固定會帶小孩去公園或圖書館。,親密育兒,習慣陪伴,2.12%
Health & Management,"Desire, Satisfaction",為了健康，會使用氣炸鍋或水波爐進行簡單烹飪。,健康烹飪,簡易料理,2.07%
Hobbies & Leisure,"Desire, Satisfaction",真正的休息是「脫離數位世界」的活動，例如登山或露營。,數位排毒,身心滿足,2.07%
Learning & Knowledge,Neutral,偏好科學期刊或人物傳記，而非文學小說。,專業興趣,知識偏好,2.07%
Finance & Investment,Neutral,投資組合中，ETF 佔比超過 60%。,核心配置,被動投資,1.93%
Finance & Investment,Neutral,屬於長期投資者，平均一年交易次數不超過 10 次。,長期投資,低頻交易,1.93%
Family & Intimacy,"Forced/Obligated, Empathy, Tension/Stress",負責家中的所有科技設備維護和財務管理。,家庭勞務,隱形負擔,1.92%
Work & Career,"Forced/Obligated, Tension/Stress, Suppression",平均週工時約 58 小時，超出法規上限。,超時工作,職場壓力,1.89%
Technology & Gadgets,"Satisfaction, Neutral",擁有三台顯示器、機械鍵盤和降噪耳機。,沉浸式體驗,進階設備,1.77%
Technology & Gadgets,"Habitual, Neutral",習慣使用 Notion 或 Evernote 來整理所有的技術筆記和會議記錄。,習慣整理,技術記錄,1.74%
Family & Intimacy,"Joy, Achievement, Empathy",曾經為太太製作一個程式來顯示求婚訊息。,浪漫求婚,科技情意,1.67%
Work & Career,"Forced/Obligated,Tension/Stress",下午茶時間會用手機處理電商退換貨事宜。,工時超載,界線模糊,1.60%
Other/Background Trait,"Suppression, Desire, Tension/Stress",遇到爭執時，傾向於先冷靜下來，用邏輯分析問題點。,冷靜分析,邏輯處理,1.54%
Work & Career,"Disappointment, Tension/Stress",當努力無法得到對應的數據結果時，會感到挫折。,努力與結果不符,工作挫折,1.54%
Hobbies & Leisure,"Joy, Desire",最近嘗試用樹莓派（Raspberry Pi）製作家庭自動化系統。,自製智能,興趣實踐,1.50%
Health & Management,"Habitual, Neutral",每年固定自費體檢，並仔細分析報告上的所有數據。,健康管理,數據分析,1.45%
Hobbies & Leisure,"Joy, Achievement, Satisfaction",小時候喜歡玩樂高和組裝模型。,童年樂趣,創造力發展,1.33%
Hobbies & Leisure,"Joy, Habitual, Achievement",學生時期常玩星海爭霸或世紀帝國等策略型遊戲。,策略遊戲,習慣養成,1.31%
Technology & Gadgets,Neutral,家中有掃地機器人、智慧音箱等多種 IoT 設備。,智慧家庭,物聯網設備,0.83%
Commute & Mobility,"Desire, Tension/Stress",願意多付 $300 叫專車，只為了在車上可以不受干擾地回覆郵件。,高效率需求,專注力渴求,0.72%
Other/Background Trait,Neutral,社交圈主要集中在公司同事和大學時期的朋友。,職場社交,熟人圈,0.55%
Other/Background Trait,"Helplessness, Suppression, Tension/Stress",不擅長處理非理性的情感交流或複雜的人際關係。,情感交流障礙,人際關係壓力,0.55%
Other/Background Trait,Neutral,認為努力與數據結果是劃上等號的。,努力等同結果,數據掛帥,0.55%
Hobbies & Leisure,"Empathy, Suppression",暫時不養寵物，因為覺得無法投入足夠的時間去照顧。,時間不足,情感壓抑,0.42%
Health & Management,"Suppression, Helplessness, Forced/Obligated",由於久坐，頸椎和腰椎有慢性疼痛，需要定期物理治療。,慢性疼痛,身體限制,0.32%
Commute & Mobility,Tension/Stress,早上 7:30 經過光復路時，會感到嚴重的路怒症。,通勤壓力,路怒現象,0.21%
